OBJECTID,ID,RUT_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_FAENA,NOMBRE_INSTALACION,TIPO_DEPOSITO,RECURSO,TIPO_MINERIA,CANTIDAD_MUROS__CONTENCION_,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,UTM_NORTE,UTM_ESTE,DATUM,HUSO,LATITUD,LONGITUD,ESTADO_INSTALACION,METODO_CONSTRUCTIVO_MURO,VOL_AUTORIZADO,VOL_ACTUAL,TONELAJE_AUTORIZADO,TONELAJE_ACTUAL,RES_APRUEBA,FECHA_RES_APRUEBA,RES_PDC_APRUEBA,FECHA_RES_PDC
162,"0162-3N",90853000-4,CMC SALI HOCHSCHILD S.A.,OJANCOS,OJANCOS 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6972158.2029,366939.6914,WGS84,19S,-27.3673484751454,-70.3454562672925,ABANDONADO,AGUAS ARRIBA,3202671,,4804007,,,,,
163,"0163-3N",90853000-4,CMC SALI HOCHSCHILD S.A.,OJANCOS,OJANCOS 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6972312.1281,366495.9807,WGS84,19S,-27.3659158959424,-70.3499250409557,ABANDONADO,AGUAS ARRIBA,1602066,,2403100,,1969,1970/11/02,,
164,"0164-3N",90853000-4,CMC SALI HOCHSCHILD S.A.,BODEGA ALTO,DEPOSITO DE RELAVE 3,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6973727.4127,365283.8615,WGS84,19S,-27.3530231016268,-70.3620222475664,ABANDONADO,,3115875,,4673812,,1969,1970/11/02,,
165,"0165-3N",90853000-4,CMC SALI HOCHSCHILD S.A.,BODEGA ALTO,DEPOSITO DE RELAVE 4,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6973640.2134,364290.1702,WGS84,19S,-27.3537117831833,-70.3720761518122,ABANDONADO,,198036,,297054,,7,1977/01/01,,
166,"0166-3N",90853000-4,CMC SALI HOCHSCHILD S.A.,OJANCOS,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6972277.8254,367138.2144,WGS84,19S,-27.366288137881,-70.3434362873091,ABANDONADO,,1800,,2700,,,,,
167,"0167-3N",90853000-4,CMC SALI HOCHSCHILD S.A.,BODEGA ALTO,BODEGA ALTO ,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6973790.3621,364517.0677,WGS84,19S,-27.3523791275332,-70.3697659918977,ABANDONADO,,515600,,773398,,,,,
168,"0168-3N",sin rut conocido,DESCONOCIDO,DESCONOCIDO,EMBALSE DE RELAVES,EMBALSE,ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6966607.2327,370160.1162,WGS84,19S,-27.4177599437115,-70.3134915445463,ABANDONADO,,2760,,4140,,,,,
169,"0169-3N",sin rut conocido,DESCONOCIDO,DESCONOCIDO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6966786.4961,370232.9628,WGS84,19S,-27.4161489097849,-70.3127356363783,ABANDONADO,,4276,,6414,,,,,
170,"0170-3N",sin rut conocido,DESCONOCIDO,DESCONOCIDO,TRANQUE DE RELAVE,ACOPIO,ORO,METÁLICO,,"03","031","03101",Atacama,Copiapó,Copiapó,6966834.8433,370331.2105,WGS84,19S,-27.4157218962757,-70.3117368090935,ABANDONADO,NO APLICA,8442,,12633,,,,,
174,"0174-3N",23379984-K,INVERSIONES RAY LTDA.,PLANTA SAN CRISTOBAL,DESCONOCIDO,ACOPIO,COBRE,METÁLICO,,"03","031","03101",Atacama,Copiapó,Copiapó,6962900.7832,370316.8423,WGS84,19S,-27.4512280166016,-70.31230206409,ABANDONADO,NO APLICA,2034,,3051,,,,,
