longitud,latitud,tipo
-70.2528341388443,-27.4087945395296,P;D
-70.254272630916,-27.411220931169,P;D
-70.3432622096846,-27.3937870921841,P;D
-70.340439902797,-27.3920450495319,P;D
-70.3176341335579,-27.4162350071985,P;D
-70.3198296161068,-27.4172452730571,P;D
-70.3245208165072,-27.4166372115481,P;D
-70.3459956583462,-27.4066315008067,P;D
-70.3441857619308,-27.403430882883,P;D
-70.3873684154491,-27.4183826767919,P;D
-70.2902779214746,-27.378418077774,P;D
-70.346140692367,-27.3965940696979,P;D
-70.3456892264198,-27.3965840286783,P;D
-70.3453259879994,-27.3965682139104,P;D
-70.3449729166427,-27.3962176185011,P;D
-70.3588408691009,-27.4115123926343,P;D
-70.2661276366533,-27.3762528344425,P;D
-70.3152796706359,-27.4251307510671,P;D
-70.3150778540282,-27.4246592697566,P;D
-70.3159260734598,-27.4243924309096,P;D
-70.2905689373007,-27.3788716360132,P;D
-69.2802789096918,-26.8368910439144,P;D
-70.3369138676889,-27.3911149337763,P;D
-70.3428888985387,-27.3897602979675,P;D
-70.3559073267889,-27.4142273562852,P;D
-70.3561686999971,-27.4147073315603,P;D
-70.3454562672925,-27.3673484751454,P;D
-70.3499250409557,-27.3659158959424,P;D
-70.3620222475664,-27.3530231016268,P;D
-70.3720761518122,-27.3537117831833,P;D
-70.3434362873091,-27.366288137881,P;D
-70.3697659918977,-27.3523791275332,P;D
-70.3134915445463,-27.4177599437115,P;D
-70.3127356363783,-27.4161489097849,P;D
-70.3117368090935,-27.4157218962757,P;D
-70.31230206409,-27.4512280166016,P;D
-70.3125422550668,-27.4509054413213,P;D
-70.3202374861896,-27.4058648674277,P;D
-70.3209194199864,-27.4026477423423,P;D
-70.3188183797033,-27.4032636610436,P;D
-70.3121551268084,-27.4283781202574,P;D
-70.348787095619,-27.4004105512993,P;D
-70.3875539413903,-27.4181203916704,P;D
-70.3876833675604,-27.4179381468949,P;D
-70.3299134046928,-27.3898641007524,P;D
-70.330409698716,-27.3915257728689,P;D
-70.3367646359532,-27.3884309243906,P;D
-70.3445715911483,-27.3688849175337,P;D
-70.3153026076337,-27.4184236005983,P;D
-70.3151487549127,-27.4178873356795,P;D
-70.315197112903,-27.4174120996922,P;D
-70.314201747615,-27.418340721134,P;D
-70.3077045838074,-27.4042210328751,P;D
-70.308752920174,-27.4032548366737,P;D
-70.3060643276974,-27.4049014637362,P;D
-70.3550879214409,-27.3540619930259,P;D
-70.264037615937,-27.4265142233386,P;D
-70.2630299299777,-27.4261148174614,P;D
-70.3523592071343,-27.4048161142602,P;D
-70.3628011689973,-27.4113014909016,P;D
-70.3361343959362,-27.3864764269324,P;D
-70.3505476488199,-27.40544884994,P;D
-70.3515230417405,-27.4055799027869,P;D
-70.3123824167464,-27.394974320893,P;D
-70.3128806926648,-27.3956044677313,P;D
-70.3135392124893,-27.3963127038261,P;D
-70.6430097756369,-27.4076796173698,P;D
-70.3539262184594,-27.3553069272613,P;D
-70.3529262728301,-27.4061491981435,P;D
-70.342904361336,-27.3919186526301,P;D
-70.3341320488817,-27.3735740918569,P;D
-70.2941596664837,-27.4187174730737,P;D
-70.3274528178917,-27.3811280344225,P;D
-70.3553219294226,-27.4089392410082,P;D
-70.3402566295801,-27.3892604672689,P;D
-70.34134622951,-27.3878658336479,P;D
-70.3541232260285,-27.4064103397095,P;D
-70.22464273118207,-28.174119345169863,P
-70.216045708352,-28.174119345169863,P
-70.19025463986178,-28.174119345169863,P
-70.1816576170317,-28.174119345169863,P
-70.17306059420163,-28.174119345169863,P
-70.15586654854148,-28.174119345169863,P
-70.42237425627377,-28.165522322339786,P
-70.22464273118207,-28.165522322339786,P
-70.216045708352,-28.165522322339786,P
-70.20744868552192,-28.165522322339786,P
-70.19885166269185,-28.165522322339786,P
-70.19025463986178,-28.165522322339786,P
-70.1816576170317,-28.165522322339786,P
-70.17306059420163,-28.165522322339786,P
-70.16446357137156,-28.165522322339786,P
-70.15586654854148,-28.165522322339786,P
-70.14726952571141,-28.165522322339786,P
-70.43097127910384,-28.15692529950971,P
-70.42237425627377,-28.15692529950971,P
-70.4137772334437,-28.15692529950971,P
-70.40518021061362,-28.15692529950971,P
-70.37079211929333,-28.15692529950971,P
-70.36219509646325,-28.15692529950971,P
-70.35359807363318,-28.15692529950971,P
-70.22464273118207,-28.15692529950971,P
-70.216045708352,-28.15692529950971,P
-70.20744868552192,-28.15692529950971,P
-70.19885166269185,-28.15692529950971,P
-70.19025463986178,-28.15692529950971,P
-70.1816576170317,-28.15692529950971,P
-70.17306059420163,-28.15692529950971,P
-70.16446357137156,-28.15692529950971,P
-70.15586654854148,-28.15692529950971,P
-70.14726952571141,-28.15692529950971,P
-70.13867250288133,-28.15692529950971,P
-70.13007548005126,-28.15692529950971,P
-70.43956830193392,-28.14832827667963,P
-70.43097127910384,-28.14832827667963,P
-70.42237425627377,-28.14832827667963,P
-70.4137772334437,-28.14832827667963,P
-70.40518021061362,-28.14832827667963,P
-70.39658318778355,-28.14832827667963,P
-70.38798616495347,-28.14832827667963,P
-70.3793891421234,-28.14832827667963,P
-70.37079211929333,-28.14832827667963,P
-70.36219509646325,-28.14832827667963,P
-70.35359807363318,-28.14832827667963,P
-70.3450010508031,-28.14832827667963,P
-70.22464273118207,-28.14832827667963,P
-70.216045708352,-28.14832827667963,P
-70.20744868552192,-28.14832827667963,P
-70.19885166269185,-28.14832827667963,P
-70.19025463986178,-28.14832827667963,P
-70.1816576170317,-28.14832827667963,P
-70.17306059420163,-28.14832827667963,P
-70.16446357137156,-28.14832827667963,P
-70.15586654854148,-28.14832827667963,P
-70.14726952571141,-28.14832827667963,P
-70.13867250288133,-28.14832827667963,P
-70.13007548005126,-28.14832827667963,P
-70.12147845722119,-28.14832827667963,P
-70.11288143439111,-28.14832827667963,P
-70.10428441156104,-28.14832827667963,P
-70.09568738873097,-28.14832827667963,P
-70.49115043891436,-28.139731253849554,P
-70.48255341608429,-28.139731253849554,P
-70.47395639325421,-28.139731253849554,P
-70.46535937042414,-28.139731253849554,P
-70.45676234759406,-28.139731253849554,P
-70.44816532476399,-28.139731253849554,P
-70.43956830193392,-28.139731253849554,P
-70.43097127910384,-28.139731253849554,P
-70.42237425627377,-28.139731253849554,P
-70.4137772334437,-28.139731253849554,P
-70.40518021061362,-28.139731253849554,P
-70.39658318778355,-28.139731253849554,P
-70.38798616495347,-28.139731253849554,P
-70.3793891421234,-28.139731253849554,P
-70.37079211929333,-28.139731253849554,P
-70.36219509646325,-28.139731253849554,P
-70.35359807363318,-28.139731253849554,P
-70.3450010508031,-28.139731253849554,P
-70.33640402797303,-28.139731253849554,P
-70.32780700514296,-28.139731253849554,P
-70.31920998231288,-28.139731253849554,P
-70.31061295948281,-28.139731253849554,P
-70.25903082250237,-28.139731253849554,P
-70.2504337996723,-28.139731253849554,P
-70.24183677684222,-28.139731253849554,P
-70.23323975401215,-28.139731253849554,P
-70.22464273118207,-28.139731253849554,P
-70.216045708352,-28.139731253849554,P
-70.20744868552192,-28.139731253849554,P
-70.19885166269185,-28.139731253849554,P
-70.19025463986178,-28.139731253849554,P
-70.1816576170317,-28.139731253849554,P
-70.17306059420163,-28.139731253849554,P
-70.16446357137156,-28.139731253849554,P
-70.15586654854148,-28.139731253849554,P
-70.14726952571141,-28.139731253849554,P
-70.13867250288133,-28.139731253849554,P
-70.13007548005126,-28.139731253849554,P
-70.12147845722119,-28.139731253849554,P
-70.11288143439111,-28.139731253849554,P
-70.10428441156104,-28.139731253849554,P
-70.09568738873097,-28.139731253849554,P
-70.08709036590089,-28.139731253849554,P
-70.07849334307082,-28.139731253849554,P
-70.49974746174443,-28.131134231019477,P
-70.49115043891436,-28.131134231019477,P
-70.48255341608429,-28.131134231019477,P
-70.47395639325421,-28.131134231019477,P
-70.46535937042414,-28.131134231019477,P
-70.45676234759406,-28.131134231019477,P
-70.44816532476399,-28.131134231019477,P
-70.43956830193392,-28.131134231019477,P
-70.43097127910384,-28.131134231019477,P
-70.42237425627377,-28.131134231019477,P
-70.4137772334437,-28.131134231019477,P
-70.40518021061362,-28.131134231019477,P
-70.39658318778355,-28.131134231019477,P
-70.38798616495347,-28.131134231019477,P
-70.3793891421234,-28.131134231019477,P
-70.37079211929333,-28.131134231019477,P
-70.36219509646325,-28.131134231019477,P
-70.35359807363318,-28.131134231019477,P
-70.3450010508031,-28.131134231019477,P
-70.33640402797303,-28.131134231019477,P
-70.32780700514296,-28.131134231019477,P
-70.31920998231288,-28.131134231019477,P
-70.31061295948281,-28.131134231019477,P
-70.30201593665274,-28.131134231019477,P
-70.29341891382266,-28.131134231019477,P
-70.27622486816252,-28.131134231019477,P
-70.26762784533244,-28.131134231019477,P
-70.25903082250237,-28.131134231019477,P
-70.2504337996723,-28.131134231019477,P
-70.24183677684222,-28.131134231019477,P
-70.23323975401215,-28.131134231019477,P
-70.22464273118207,-28.131134231019477,P
-70.216045708352,-28.131134231019477,P
-70.20744868552192,-28.131134231019477,P
-70.19885166269185,-28.131134231019477,P
-70.19025463986178,-28.131134231019477,P
-70.1816576170317,-28.131134231019477,P
-70.17306059420163,-28.131134231019477,P
-70.16446357137156,-28.131134231019477,P
-70.15586654854148,-28.131134231019477,P
-70.14726952571141,-28.131134231019477,P
-70.13867250288133,-28.131134231019477,P
-70.13007548005126,-28.131134231019477,P
-70.12147845722119,-28.131134231019477,P
-70.11288143439111,-28.131134231019477,P
-70.10428441156104,-28.131134231019477,P
-70.09568738873097,-28.131134231019477,P
-70.08709036590089,-28.131134231019477,P
-70.07849334307082,-28.131134231019477,P
-70.06989632024074,-28.131134231019477,P
-70.50834448457451,-28.1225372081894,P
-70.49974746174443,-28.1225372081894,P
-70.49115043891436,-28.1225372081894,P
-70.48255341608429,-28.1225372081894,P
-70.47395639325421,-28.1225372081894,P
-70.46535937042414,-28.1225372081894,P
-70.45676234759406,-28.1225372081894,P
-70.44816532476399,-28.1225372081894,P
-70.43956830193392,-28.1225372081894,P
-70.43097127910384,-28.1225372081894,P
-70.42237425627377,-28.1225372081894,P
-70.4137772334437,-28.1225372081894,P
-70.40518021061362,-28.1225372081894,P
-70.39658318778355,-28.1225372081894,P
-70.38798616495347,-28.1225372081894,P
-70.3793891421234,-28.1225372081894,P
-70.37079211929333,-28.1225372081894,P
-70.36219509646325,-28.1225372081894,P
-70.35359807363318,-28.1225372081894,P
-70.3450010508031,-28.1225372081894,P
-70.33640402797303,-28.1225372081894,P
-70.32780700514296,-28.1225372081894,P
-70.31920998231288,-28.1225372081894,P
-70.31061295948281,-28.1225372081894,P
-70.30201593665274,-28.1225372081894,P
-70.29341891382266,-28.1225372081894,P
-70.28482189099259,-28.1225372081894,P
-70.27622486816252,-28.1225372081894,P
-70.26762784533244,-28.1225372081894,P
-70.25903082250237,-28.1225372081894,P
-70.2504337996723,-28.1225372081894,P
-70.24183677684222,-28.1225372081894,P
-70.23323975401215,-28.1225372081894,P
-70.22464273118207,-28.1225372081894,P
-70.216045708352,-28.1225372081894,P
-70.20744868552192,-28.1225372081894,P
-70.19885166269185,-28.1225372081894,P
-70.19025463986178,-28.1225372081894,P
-70.1816576170317,-28.1225372081894,P
-70.17306059420163,-28.1225372081894,P
-70.16446357137156,-28.1225372081894,P
-70.15586654854148,-28.1225372081894,P
-70.14726952571141,-28.1225372081894,P
-70.13867250288133,-28.1225372081894,P
-70.13007548005126,-28.1225372081894,P
-70.12147845722119,-28.1225372081894,P
-70.11288143439111,-28.1225372081894,P
-70.10428441156104,-28.1225372081894,P
-70.09568738873097,-28.1225372081894,P
-70.08709036590089,-28.1225372081894,P
-70.07849334307082,-28.1225372081894,P
-70.06989632024074,-28.1225372081894,P
-70.51694150740458,-28.113940185359322,P
-70.50834448457451,-28.113940185359322,P
-70.49974746174443,-28.113940185359322,P
-70.49115043891436,-28.113940185359322,P
-70.48255341608429,-28.113940185359322,P
-70.47395639325421,-28.113940185359322,P
-70.46535937042414,-28.113940185359322,P
-70.45676234759406,-28.113940185359322,P
-70.44816532476399,-28.113940185359322,P
-70.43956830193392,-28.113940185359322,P
-70.43097127910384,-28.113940185359322,P
-70.42237425627377,-28.113940185359322,P
-70.4137772334437,-28.113940185359322,P
-70.40518021061362,-28.113940185359322,P
-70.39658318778355,-28.113940185359322,P
-70.38798616495347,-28.113940185359322,P
-70.3793891421234,-28.113940185359322,P
-70.37079211929333,-28.113940185359322,P
-70.36219509646325,-28.113940185359322,P
-70.35359807363318,-28.113940185359322,P
-70.3450010508031,-28.113940185359322,P
-70.33640402797303,-28.113940185359322,P
-70.32780700514296,-28.113940185359322,P
-70.31920998231288,-28.113940185359322,P
-70.31061295948281,-28.113940185359322,P
-70.30201593665274,-28.113940185359322,P
-70.29341891382266,-28.113940185359322,P
-70.28482189099259,-28.113940185359322,P
-70.27622486816252,-28.113940185359322,P
-70.26762784533244,-28.113940185359322,P
-70.25903082250237,-28.113940185359322,P
-70.2504337996723,-28.113940185359322,P
-70.24183677684222,-28.113940185359322,P
-70.23323975401215,-28.113940185359322,P
-70.22464273118207,-28.113940185359322,P
-70.216045708352,-28.113940185359322,P
-70.20744868552192,-28.113940185359322,P
-70.19885166269185,-28.113940185359322,P
-70.19025463986178,-28.113940185359322,P
-70.1816576170317,-28.113940185359322,P
-70.17306059420163,-28.113940185359322,P
-70.16446357137156,-28.113940185359322,P
-70.15586654854148,-28.113940185359322,P
-70.14726952571141,-28.113940185359322,P
-70.13867250288133,-28.113940185359322,P
-70.13007548005126,-28.113940185359322,P
-70.12147845722119,-28.113940185359322,P
-70.11288143439111,-28.113940185359322,P
-70.10428441156104,-28.113940185359322,P
-70.09568738873097,-28.113940185359322,P
-70.08709036590089,-28.113940185359322,P
-70.07849334307082,-28.113940185359322,P
-70.06989632024074,-28.113940185359322,P
-70.06129929741067,-28.113940185359322,P
-70.52553853023466,-28.105343162529245,P
-70.51694150740458,-28.105343162529245,P
-70.50834448457451,-28.105343162529245,P
-70.49974746174443,-28.105343162529245,P
-70.49115043891436,-28.105343162529245,P
-70.48255341608429,-28.105343162529245,P
-70.47395639325421,-28.105343162529245,P
-70.46535937042414,-28.105343162529245,P
-70.45676234759406,-28.105343162529245,P
-70.44816532476399,-28.105343162529245,P
-70.43956830193392,-28.105343162529245,P
-70.43097127910384,-28.105343162529245,P
-70.42237425627377,-28.105343162529245,P
-70.4137772334437,-28.105343162529245,P
-70.40518021061362,-28.105343162529245,P
-70.39658318778355,-28.105343162529245,P
-70.38798616495347,-28.105343162529245,P
-70.3793891421234,-28.105343162529245,P
-70.37079211929333,-28.105343162529245,P
-70.36219509646325,-28.105343162529245,P
-70.35359807363318,-28.105343162529245,P
-70.3450010508031,-28.105343162529245,P
-70.33640402797303,-28.105343162529245,P
-70.32780700514296,-28.105343162529245,P
-70.31920998231288,-28.105343162529245,P
-70.31061295948281,-28.105343162529245,P
-70.30201593665274,-28.105343162529245,P
-70.29341891382266,-28.105343162529245,P
-70.28482189099259,-28.105343162529245,P
-70.27622486816252,-28.105343162529245,P
-70.26762784533244,-28.105343162529245,P
-70.25903082250237,-28.105343162529245,P
-70.2504337996723,-28.105343162529245,P
-70.24183677684222,-28.105343162529245,P
-70.23323975401215,-28.105343162529245,P
-70.22464273118207,-28.105343162529245,P
-70.216045708352,-28.105343162529245,P
-70.20744868552192,-28.105343162529245,P
-70.19885166269185,-28.105343162529245,P
-70.19025463986178,-28.105343162529245,P
-70.1816576170317,-28.105343162529245,P
-70.17306059420163,-28.105343162529245,P
-70.16446357137156,-28.105343162529245,P
-70.15586654854148,-28.105343162529245,P
-70.14726952571141,-28.105343162529245,P
-70.13867250288133,-28.105343162529245,P
-70.13007548005126,-28.105343162529245,P
-70.12147845722119,-28.105343162529245,P
-70.11288143439111,-28.105343162529245,P
-70.10428441156104,-28.105343162529245,P
-70.09568738873097,-28.105343162529245,P
-70.08709036590089,-28.105343162529245,P
-70.07849334307082,-28.105343162529245,P
-70.06989632024074,-28.105343162529245,P
-70.5427325758948,-28.096746139699167,P
-70.53413555306473,-28.096746139699167,P
-70.52553853023466,-28.096746139699167,P
-70.51694150740458,-28.096746139699167,P
-70.50834448457451,-28.096746139699167,P
-70.49974746174443,-28.096746139699167,P
-70.49115043891436,-28.096746139699167,P
-70.48255341608429,-28.096746139699167,P
-70.47395639325421,-28.096746139699167,P
-70.46535937042414,-28.096746139699167,P
-70.45676234759406,-28.096746139699167,P
-70.44816532476399,-28.096746139699167,P
-70.43956830193392,-28.096746139699167,P
-70.43097127910384,-28.096746139699167,P
-70.42237425627377,-28.096746139699167,P
-70.4137772334437,-28.096746139699167,P
-70.40518021061362,-28.096746139699167,P
-70.39658318778355,-28.096746139699167,P
-70.38798616495347,-28.096746139699167,P
-70.3793891421234,-28.096746139699167,P
-70.37079211929333,-28.096746139699167,P
-70.36219509646325,-28.096746139699167,P
-70.35359807363318,-28.096746139699167,P
-70.3450010508031,-28.096746139699167,P
-70.33640402797303,-28.096746139699167,P
-70.32780700514296,-28.096746139699167,P
-70.31920998231288,-28.096746139699167,P
-70.31061295948281,-28.096746139699167,P
-70.30201593665274,-28.096746139699167,P
-70.29341891382266,-28.096746139699167,P
-70.28482189099259,-28.096746139699167,P
-70.27622486816252,-28.096746139699167,P
-70.26762784533244,-28.096746139699167,P
-70.25903082250237,-28.096746139699167,P
-70.2504337996723,-28.096746139699167,P
-70.24183677684222,-28.096746139699167,P
-70.23323975401215,-28.096746139699167,P
-70.22464273118207,-28.096746139699167,P
-70.216045708352,-28.096746139699167,P
-70.20744868552192,-28.096746139699167,P
-70.19885166269185,-28.096746139699167,P
-70.19025463986178,-28.096746139699167,P
-70.1816576170317,-28.096746139699167,P
-70.17306059420163,-28.096746139699167,P
-70.16446357137156,-28.096746139699167,P
-70.15586654854148,-28.096746139699167,P
-70.14726952571141,-28.096746139699167,P
-70.13867250288133,-28.096746139699167,P
-70.13007548005126,-28.096746139699167,P
-70.12147845722119,-28.096746139699167,P
-70.11288143439111,-28.096746139699167,P
-70.10428441156104,-28.096746139699167,P
-70.09568738873097,-28.096746139699167,P
-70.08709036590089,-28.096746139699167,P
-70.07849334307082,-28.096746139699167,P
-70.06989632024074,-28.096746139699167,P
-70.06129929741067,-28.096746139699167,P
-70.55132959872488,-28.08814911686909,P
-70.5427325758948,-28.08814911686909,P
